今夜,n adv
集まる,v5r vi
度,n n-suf
書く,v5k vt
展開,n vs vt vi
一緒,n
終わり,n
上手い,adj-i
新しい,adj-i
燃える,v1 vi
赤い,adj-i
会話,n vs vi
一気に,adv
悪い,adj-i
無くなる,v5r vi
山,n ctr
恋,n
兄,pn
連れてくる,exp vk
隣,adj-no n
気分,n
高い,adj-i
吸う,v5u vt
何となく,adv
年,ctr
一度も,exp
仲間,n
膝,n
技術,n
姉,suf
効果,n adj-no
以外,n-suf
発生,n vs vi
考え,n
倒れる,v1 vi
特に,adv
綺麗,adj-na
勇気,n
帰る,v5r vi
寒い,adj-i
窓,n
無言,n adj-no
花,n
相談,n vs vt
本人,n
船,n-suf
条件,n
十分,adj-na
才能,n
好き,adj-na n
三,num
神,n
責任,n
了解,n vs vt
瞬間,n
唇,n
ご飯,n
自由,n adj-na
強化,n vs vt
前,n-pref
対応,n vs vi
よる,aux-v v5r
雨,n
風,n
決して,adv
味,suf
困る,v5r vi
一,num
消える,v1 vi
逆,adj-no adj-na n
星,n
怒り,n
否定,n vs vt
はっきり,adv adv-to
突然,adj-no adj-na adv
方,n
同士,n n-suf
探す,v5s vt
沢山,adj-no adj-na n adv
六,num
怖い,adj-i
紙,suf
発見,n vs vt
酷い,adj-i
島,suf
女,n n-suf
肉,n
変わる,v5r vi
質問,n vs vt vi adj-no
魚,n
囲む,v5m vt
今年,n adv
勢い,n
毒,n
急ぐ,v5g vi vt
王,n n-suf
日,n
残る,v5r vi
武器,n
強引,adj-na n
弾く,v5k vt
発言,n vs vt vi
静か,adj-na
上げる,v1 vt
歴史,n
少々,adv n
気,n n-suf
一体,adv
外,n
雪,n
直接,adj-na n adj-no adv
太陽,n
求める,v1 vt
物,n
夏,n adv
人気,n adj-no
世界,n
頬,n
位置,n vs vi
中,suf
撫でる,v1 vt
集中,n vs vt vi
飛び込む,v5m vi
付く,v5k vi
万,adv
走る,v5r vi
間,n
外れる,v1 vi
大体,adv
紹介,n vs vt
命令,n vs vt
明らか,adj-na
派手,adj-na n
神様,n
迫る,v5r vi
忘れる,v1 vt
目立つ,v5t vi
将来,n adv
金曜日,n adv
実は,exp adv
暇,n
面倒,n adj-na
明るい,adj-i
越える,v1 vt
事,suf
願う,v5u vt
勝手,n adj-na
点,n
回る,v5r vi
読む,v5m vt
試す,v5s vt
平気,adj-na n
叫ぶ,v5b vi
鏡,n
昨夜,n adv
自ら,n
話す,v5s vt
捕まえる,v1 vt
水曜日,n adv
女子,n
呪い,n
開く,v5k vi
話,ctr
信頼,n vs vt
分,num
車,suf
凄い,adj-i
脱ぐ,v5g vt
腕,n
指示,n vs vt
どう,int
解決,n vs vt vi
目覚める,v1 vi
先生,n
通じる,v1 vi
右,n adj-no
趣味,n
答え,n
流れる,v1 vi
組む,v5m
閉じる,v1 vt vi
謎,n
申し訳ない,exp adj-i
幸せ,n adj-na
恐怖,n vs vt vi
四,num
比べる,v1 vt
名,ctr
味わう,v5u vt
疑問,n
得る,v2a-s suf
匂い,n
方法,n
全然,adv
